SR.NO,Country,Active military,Reserve military,Paramilitary_x,Total_x,"Per 1,000 capita(active)","Per 1,000 capita(total)",Code,Type,Indicator Name,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019,2020,Total_y,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary_y,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
50.0,Equatorial Guinea,1450.0,0.0,0.0,1450.0,1.8,1.8,GNQ,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2379301.339,3447875.179,,,,,,,,,,,,196314371.7,292754658.8,371927587.9,,,,,166540254.6,,18233154.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,5.0,,,,,,,,,,,,,,,,,3.0,,7.0,,,7.0,11.0,7.0,28.0,30.0,68.0,3.0,57.0,65.0,2.0,92.0,,,,7.0,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Eritrea,201750.0,120000.0,0.0,321750.0,33.8,53.9,ERI,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107737649.2,80198311.21,124996349.9,152271808.6,92756319.41,263001685.7,272856734.6,230670129.9,166550245.4,150764425.2,181583669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,18.0,7.0,41.0,53.0,214.0,31.0,20.0,57.0,18.0,17.0,80.0,98.0,,4.0,,,,,,,,,,,,,,678.0,ERI,175000.0,0.0,200.0,6.0,2151589.0,2234.0,0.0,0.0,105315000.0,0.0,792700000.0,33.0,1549144.0,225000000.0,0.0,0.0,13.0,2710000.0,9.0,0.0,20.0,4000.0,0.0,0.0,0.0,18.0,2.0,10000000000.0,306.0,73769.0,200000.0,16000.0,34.0,20.0,1840.0,0.0,117600.0,0.0,0.0,300.0,33.0,6147398.0,30.0,7.0,5.0,0.0
52.0,Estonia,7100.0,17500.0,0.0,24600.0,5.7,19.8,EST,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13146559.88,25135735.38,36343487.58,41436607.71,53031652.18,59919847.48,73800541.32,78313308.56,93818539.9,122069530.7,171411923.9,204968180.2,265961745.8,315179053.3,444197516.0,505779818.3,434340865.2,332231196.9,389237580.9,436852911.6,479314460.8,512119045.1,463568814.5,497653404.3,537440226.9,618486125.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,15.0,17.0,1.0,12.0,4.0,1.0,27.0,,1.0,13.0,8.0,20.0,7.0,19.0,29.0,43.0,13.0,1.0,2.0,18.0,2.0,18.0,29.0,33.0,17.0,54.0,23.0,432.0,EST,6500.0,0.0,180.0,0.0,597821.0,3794.0,0.0,0.0,713690000.0,0.0,23944000000.0,6.0,466056.0,345000000.0,0.0,0.0,0.0,648000.0,68.0,4.0,6.0,28300.0,0.0,0.0,16000.0,2.0,6.0,45000000000.0,2146.0,13420.0,12000.0,58412.0,0.0,18.0,657.0,0.0,45228.0,0.0,0.0,0.0,6.0,1220042.0,66.0,4.0,2.0,335.0
,Eswatini,,,,,,,SWZ,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,5390626.348,8259877.065,10183559.48,13135761.89,12379584.3,11074579.58,11735930.35,9116913.399,6646662.948,7341260.29,8349582.275,8720150.255,8731526.53,14223211.66,16006837.31,20976434.16,23724347.71,25804044.16,28769619.72,26486561.92,25662115.12,25731330.54,25853264.11,24471060.53,19665055.21,18338440.52,31927690.93,42695547.31,59471673.9,58520575.05,61877516.72,66657830.2,75911617.99,102032175.0,106629408.9,90639795.27,86040376.76,81355330.93,73527854.06,72447621.01,88678493.74,87787078.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,Ethiopia,138000.0,0.0,0.0,138000.0,1.3,1.3,ETH,Country,Military expenditure (current USD),15335262.65,18555265.31,20185391.65,27289522.51,36140000.0,42900000.0,43420000.0,37000000.0,34660000.0,34420000.0,34540000.0,36134238.09,41043478.26,48433591.42,74758454.11,125072463.8,128043478.3,135048309.2,178212560.4,276328502.4,359323671.5,366980676.3,387367149.8,408405797.1,423019323.7,429444444.4,439202898.6,476618357.5,614855072.5,781521739.1,785048309.2,529033816.4,255343443.4,163850000.0,148691674.3,122460147.5,126454733.2,225417105.1,458549925.4,703704869.5,617541613.6,349808276.5,288932333.5,278673159.9,311038749.0,342066638.7,345687017.0,360140308.6,388187596.7,339627768.0,303617033.1,332441772.4,366539017.7,345064165.8,414476025.8,442551536.5,490177248.5,503158174.3,496621069.7,2.0,19.0,,6.0,8.0,1.0,1.0,16.0,23.0,6.0,24.0,4.0,21.0,27.0,4.0,14.0,99.0,31.0,34.0,24.0,89.0,54.0,33.0,5.0,16.0,58.0,135.0,1107.0,965.0,113.0,330.0,328.0,516.0,353.0,273.0,247.0,348.0,239.0,155.0,47.0,2.0,80.0,,,,,,69.0,211.0,155.0,140.0,,20.0,174.0,239.0,,,,,,54.0,76.0,193.0,153.0,33.0,10.0,55.0,51.0,12.0,74.0,24.0,7601.0,ETH,150000.0,0.0,110.0,7.0,53218095.0,0.0,0.0,0.0,538000000.0,0.0,27270000000.0,90.0,33039567.0,3013000000.0,0.0,0.0,32.0,52820000.0,11.0,0.0,0.0,74000.0,0.0,428000.0,0.0,0.0,2.0,264050000000.0,659.0,2550034.0,0.0,120171.0,183.0,67.0,5925.0,0.0,1104300.0,0.0,0.0,340.0,90.0,110871031.0,470.0,26.0,9.0,0.0
,Euro area,,,,,,,EMU,Regions Clubbed Economically,Military expenditure (current USD),9333488690.0,10211208333.0,12018977968.0,13141136924.0,13774581638.0,14296250463.0,15142937237.0,16192206800.0,16284964293.0,17066487120.0,18274688982.0,20676596091.0,25365205816.0,31885138823.0,36253140529.0,42745056875.0,43494279287.0,49677832929.0,61075240668.0,73081453899.0,81356474662.0,72794606490.0,71277734500.0,69026670873.0,64591593596.0,65257987622.0,89274574886.0,111000000000.0,117000000000.0,114000000000.0,140000000000.0,138000000000.0,146000000000.0,130000000000.0,131000000000.0,144000000000.0,144000000000.0,129000000000.0,128000000000.0,127000000000.0,114000000000.0,112000000000.0,121000000000.0,149000000000.0,169000000000.0,171000000000.0,176000000000.0,197000000000.0,221000000000.0,215000000000.0,201000000000.0,208000000000.0,192000000000.0,193000000000.0,192000000000.0,164000000000.0,171000000000.0,183000000000.0,198000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Europe & Central Asia,,,,,,,ECS,Regions Clubbed Economically,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000000000.0,208000000000.0,224000000000.0,229000000000.0,217000000000.0,208000000000.0,205000000000.0,190000000000.0,189000000000.0,209000000000.0,253000000000.0,288000000000.0,302000000000.0,320000000000.0,369000000000.0,413000000000.0,386000000000.0,383000000000.0,408000000000.0,402000000000.0,411000000000.0,407000000000.0,348000000000.0,351000000000.0,362000000000.0,385000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Europe & Central Asia (IDA & IBRD countries),,,,,,,TEC,Regions Clubbed Economically,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19441618985.0,25209217730.0,27288925100.0,31984021604.0,35851835562.0,26221762209.0,24714602758.0,26550637058.0,27134780805.0,32069695726.0,37458175838.0,43656321565.0,54051042170.0,65349653311.0,82085055468.0,100000000000.0,89743349539.0,99441323305.0,113000000000.0,125000000000.0,134000000000.0,131000000000.0,108000000000.0,109000000000.0,109000000000.0,110000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Europe & Central Asia (excluding high income),,,,,,,ECA,Regions Clubbed Economically,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16149303810.0,21332072187.0,22509173536.0,26961905919.0,30862374505.0,21303474766.0,20452098399.0,22744755312.0,22874671106.0,27559841772.0,32598514932.0,38146826811.0,47355476408.0,57880808517.0,72517065372.0,89688098282.0,80710439035.0,89635276519.0,103000000000.0,115000000000.0,124000000000.0,119000000000.0,97079517784.0,99303623795.0,98245283622.0,97497803031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,European Union,,,,,,,EUU,Regions Clubbed Geographically,Military expenditure (current USD),18900106694.0,20513847216.0,23162484939.0,25129718765.0,26446753894.0,27776682702.0,29387052892.0,31036878259.0,31765628324.0,33508676094.0,36153182000.0,40365629652.0,47281566361.0,55486414889.0,62222918711.0,72792051427.0,74197845724.0,83401208815.0,91153840119.0,99770483608.0,115000000000.0,105000000000.0,104000000000.0,100000000000.0,94938566031.0,97810085569.0,127000000000.0,153000000000.0,164000000000.0,162000000000.0,192000000000.0,193000000000.0,200000000000.0,177000000000.0,181000000000.0,194000000000.0,195000000000.0,180000000000.0,182000000000.0,179000000000.0,163000000000.0,162000000000.0,176000000000.0,214000000000.0,244000000000.0,249000000000.0,257000000000.0,291000000000.0,317000000000.0,298000000000.0,286000000000.0,297000000000.0,278000000000.0,278000000000.0,279000000000.0,244000000000.0,245000000000.0,257000000000.0,281000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faroe Islands,,,,,,,FRO,Semi Autonomous Region,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,Fiji,3500.0,6000.0,0.0,9500.0,3.8,10.3,FJI,Country,Military expenditure (current USD),,,,,,,,,,,413396.8127,535616.7685,787703.1062,931727.0694,1353022.08,2056253.749,2751430.02,3651464.946,7239265.398,9572320.678,10367191.75,11361681.76,14939154.85,15102947.83,15601330.13,14008928.96,14591259.37,25131445.66,24673835.53,29083211.42,30542031.59,32482582.88,30539125.34,32041095.62,33665273.34,34700248.16,32851136.61,30962540.18,22598926.93,23811699.72,32039537.35,32811655.82,30914304.27,37296898.08,46798811.28,43111350.29,54067168.06,75576918.3,53585658.62,51285722.32,50408953.71,60785527.47,59221516.41,58108276.9,46079423.53,42418008.45,42649282.3,45705790.34,48412174.69,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,,,1.0,,3.0,,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Finland,23800.0,254000.0,14200.0,292000.0,4.3,52.7,FIN,Country,Military expenditure (current USD),89557618.81,105350974.8,154403280.6,128576498.4,139910553.9,149572371.7,152916847.1,146661680.3,150060024.0,140291965.8,152891345.2,177615098.1,220831905.3,276967793.9,308807797.1,433161415.7,416956433.4,461856960.1,506869453.0,642602892.8,873508619.5,790880895.3,844911290.5,905188931.5,826070181.3,911349660.9,1223271001.0,1462231547.0,1704330620.0,1766586166.0,2141300984.0,2200991549.0,2075955550.0,1615424809.0,1756338984.0,1908986807.0,2021797095.0,1947002590.0,1959708814.0,1653905119.0,1558135250.0,1479270879.0,1611406522.0,2475059743.0,2892938124.0,2999391049.0,3128517474.0,3296557750.0,3958118334.0,3940584835.0,3717180505.0,4099505807.0,3943239958.0,4161139945.0,3985508352.0,3399134967.0,3415008250.0,3429968212.0,3849013845.0,,,19.0,,,11.0,15.0,3.0,25.0,41.0,54.0,65.0,38.0,237.0,77.0,81.0,42.0,76.0,23.0,21.0,15.0,5.0,26.0,13.0,172.0,127.0,90.0,30.0,105.0,47.0,328.0,119.0,132.0,112.0,126.0,203.0,97.0,69.0,143.0,85.0,90.0,65.0,442.0,407.0,248.0,197.0,553.0,398.0,562.0,770.0,474.0,9.0,17.0,242.0,67.0,92.0,131.0,141.0,135.0,42.0,52.0,58.0,77.0,296.0,198.0,293.0,160.0,50.0,101.0,93.0,63.0,9392.0,FIN,23000.0,0.0,2090.0,0.0,2290851.0,1250.0,0.0,0.0,2669733900.0,0.0,631549000000.0,192.0,1899730.0,10510000000.0,0.0,0.0,20.0,2520000.0,272.0,18.0,246.0,217100.0,0.0,0.0,14000.0,8.0,6.0,260000000000.0,5926.0,55874.0,280000.0,454000.0,63.0,115.0,2563.0,1.0,338145.0,0.0,0.0,200.0,192.0,5587442.0,662.0,105.0,11.0,7842.0
,Fragile and conflict affected situations,,,,,,,FCS,Regions Clubbed Economically,Military expenditure (current USD),,,,,,706587493.3,730767053.0,745449059.5,923762709.4,1135614514.0,1345531948.0,1368886198.0,1491718487.0,2005986063.0,3277074442.0,3671284748.0,4053395019.0,4700823643.0,5493887581.0,6655503263.0,8340274986.0,8868353455.0,5147947238.0,4641397190.0,5347560018.0,5022466014.0,5281422063.0,5210902008.0,5559891597.0,,5628613277.0,7322176202.0,7271030756.0,7202089238.0,,,7837091508.0,9106793992.0,10595222058.0,11809137984.0,13949146351.0,,,29382721297.0,36730207448.0,40338111644.0,8733903752.0,11101526593.0,14507932111.0,14053373364.0,12076704778.0,13350410039.0,16449796973.0,21901821911.0,21814358200.0,20556954653.0,17139676571.0,19451864579.0,15352665892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,France,208750.0,141050.0,30800.0,380600.0,3.1,5.6,FRA,Country,Military expenditure (current USD),3881219690.0,4131003787.0,4493323590.0,4628060852.0,4917956554.0,5124506743.0,5414601741.0,5856108417.0,6129940876.0,5909705121.0,5882387677.0,6300175574.0,7531246912.0,9496156577.0,9954624929.0,13030408263.0,13304260893.0,15041676195.0,18873052740.0,22667912461.0,26427190947.0,23867080426.0,22522681678.0,21653641575.0,20212344345.0,20780557604.0,28454938061.0,34858734928.0,36104962946.0,35317062940.0,42589868779.0,42702599011.0,45123086054.0,42590872342.0,44392512323.0,47768110000.0,46403438584.0,41308251985.0,40041139680.0,38897240331.0,33814262023.0,33276659717.0,36403933933.0,45916973841.0,53007021661.0,52908769835.0,54516076830.0,60594986847.0,66009448127.0,66884028879.0,61781748108.0,64600927220.0,60035153811.0,62417099178.0,63613569143.0,55342131529.0,57358414419.0,60417498822.0,63799676593.0,180.0,997.0,1180.0,1663.0,1669.0,1603.0,1546.0,738.0,1113.0,802.0,529.0,325.0,122.0,162.0,1300.0,378.0,106.0,93.0,113.0,54.0,34.0,47.0,28.0,51.0,46.0,45.0,196.0,204.0,241.0,107.0,70.0,101.0,137.0,103.0,68.0,15.0,96.0,84.0,137.0,107.0,60.0,945.0,420.0,91.0,75.0,100.0,66.0,226.0,174.0,110.0,104.0,66.0,43.0,57.0,93.0,2.0,67.0,74.0,5.0,76.0,106.0,48.0,90.0,107.0,17.0,49.0,52.0,76.0,183.0,99.0,215.0,20484.0,FRA,205000.0,1.0,6558.0,69.0,29957055.0,4853.0,0.0,0.0,40900000000.0,10.0,6356459000000.0,1055.0,23693308.0,156400000000.0,11.0,3.0,435.0,27742000.0,548.0,17.0,180.0,1705000.0,16000.0,65970000.0,175000.0,15.0,17.0,2832170000000.0,29640.0,748926.0,35000.0,1053215.0,13.0,109.0,4072.0,46.0,643801.0,10.0,18.0,406.0,1055.0,68084217.0,105.0,165.0,125.0,8501.0
,French Polynesia,,,,,,,PYF,Semi Autonomous Region,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Gabon,4700.0,0.0,2000.0,6700.0,2.2,3.2,GAB,Country,Military expenditure (current USD),,,,,,,,3008117.853,2989113.97,4350652.598,4638155.158,5498336.699,6673861.634,9421730.099,10494173.37,16844521.8,20117179.33,28927873.66,,56881751.77,68629307.08,88322642.61,88555899.77,86599171.8,80328270.29,95489724.28,136006884.1,,,,,,,,,,,,,,91295212.2,90036137.23,94693165.45,108396421.2,125121856.6,118111430.5,130237717.3,,,,268738503.9,265965337.6,278143957.1,282163387.6,208124753.5,170374503.3,202815390.7,267430770.8,261217395.1,,,,,,,,,,,,3.0,,,3.0,0.0,2.0,,2.0,4.0,1.0,24.0,,2.0,10.0,35.0,48.0,28.0,77.0,,26.0,37.0,5.0,11.0,98.0,2.0,7.0,10.0,28.0,10.0,29.0,,,,,,,,,,,,,,6.0,,20.0,18.0,,,22.0,5.0,1.0,2.0,,5.0,3.0,,,25.0,,607.0,GAB,6500.0,0.0,150.0,0.0,868267.0,885.0,0.0,0.0,280620000.0,0.0,6490000000.0,23.0,495826.0,981600000.0,0.0,0.0,15.0,557800.0,62.0,0.0,10.0,24000.0,195000.0,2000000000.0,2000.0,3.0,5.0,32000000000.0,649.0,43413.0,0.0,14300.0,0.0,0.0,3261.0,0.0,267667.0,0.0,0.0,0.0,23.0,2284912.0,10.0,0.0,2.0,1600.0
58.0,Gambia,800.0,0.0,0.0,800.0,0.4,0.4,GMB,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,727666.8802,846805.02,1244263.419,1046935.943,1392344.227,2161462.759,2722988.351,3464911.112,3996271.673,3501687.892,2556388.668,2316899.696,2886551.708,3929706.231,4176388.698,4049572.023,3519056.437,3323532.172,2454230.2,2259285.664,1997861.937,1931395.5,2985085.073,2786319.244,4547026.14,17163533.46,7095299.575,,,11173079.86,10378890.69,14599956.87,14288131.91,,,11487224.94,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3.0,,,,,,,,12.0,,,,,,,,,,,,,,,5.0,,,,,16.0,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,Georgia,20650.0,0.0,5400.0,26050.0,4.2,5.3,GEO,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67706683.56,44007707.13,41084456.98,25882678.36,18824291.43,23829967.87,33975807.04,42647402.88,70419742.78,214071430.1,404172025.9,931750564.2,1090160251.0,603655214.9,454178215.2,468779626.8,491982529.4,441878927.0,415642426.2,299514176.3,315194446.3,308227183.5,316508368.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,28.0,23.0,6.0,85.0,,1.0,37.0,92.0,97.0,161.0,132.0,38.0,,2.0,,5.0,1.0,,,7.0,43.0,6.0,,772.0,GEO,25000.0,0.0,554.0,9.0,2762857.0,310.0,0.0,10.0,286020000.0,0.0,18149000000.0,66.0,2239888.0,3039000000.0,0.0,0.0,38.0,686000.0,25.0,0.0,44.0,27000.0,400.0,35000000.0,5400.0,31.0,2.0,52330000000.0,1363.0,74005.0,0.0,20295.0,67.0,74.0,1814.0,0.0,69700.0,0.0,0.0,143.0,66.0,4933674.0,186.0,12.0,2.0,4349.0
60.0,Germany,183500.0,50050.0,0.0,233550.0,2.3,2.9,DEU,Country,Military expenditure (current USD),2884517772.0,3266495653.0,4308248214.0,4981004024.0,4888248899.0,4978559240.0,5063637742.0,5352122317.0,4827481334.0,5471706536.0,6167271406.0,7255896950.0,9006765501.0,11938703823.0,13773713249.0,15278274626.0,15457151068.0,17304663483.0,21416956348.0,24777567445.0,26692620067.0,23094364442.0,22349480132.0,22127066321.0,20124939008.0,19921872405.0,27690811161.0,34135226422.0,35096843456.0,33604161248.0,42318768301.0,39516328623.0,41965836693.0,37215052110.0,36330284517.0,41158705095.0,38989886649.0,33217573925.0,33146457057.0,32604005638.0,28149990787.0,27425257940.0,29333207849.0,35055088179.0,38007611456.0,38054021788.0,38092382653.0,42551851943.0,48081444318.0,47470073335.0,46255521194.0,48140347951.0,46470870905.0,45930540563.0,46102673010.0,39812576245.0,41579494874.0,45381722042.0,49470627811.0,,,,,,85.0,1356.0,2270.0,2798.0,1523.0,2033.0,2018.0,2457.0,3283.0,3710.0,3323.0,3211.0,1336.0,1198.0,1223.0,1387.0,2384.0,838.0,1742.0,2132.0,1835.0,1387.0,1042.0,691.0,65.0,150.0,261.0,453.0,434.0,412.0,130.0,310.0,320.0,429.0,707.0,716.0,695.0,685.0,535.0,423.0,228.0,246.0,60.0,543.0,129.0,113.0,133.0,71.0,64.0,238.0,199.0,409.0,75.0,285.0,339.0,282.0,84.0,131.0,113.0,95.0,96.0,55.0,43.0,14.0,38.0,52.0,56119.0,GER,184000.0,0.0,9217.0,55.0,36755601.0,2389.0,5.0,75.0,50300000000.0,0.0,5671463000000.0,617.0,29404481.0,200100000000.0,12.0,0.0,287.0,44585000.0,599.0,12.0,80.0,2460000.0,40000.0,129600000.0,0.0,0.0,13.0,4238800000000.0,33590.0,799035.0,15000.0,625000.0,38.0,121.0,3694.0,41.0,357022.0,6.0,0.0,266.0,617.0,79903481.0,0.0,37.0,43.0,7467.0
